Number of good map points:17967
Image index, timestamp, feature index, x, y
current frame timestamp:20170927.141260
-0.070435 0.933296 8.867689 0 0 0 
Num of good obeservatiosn:31
495 20170927.140923 964 482.400024 438.000031
464 20170927.140847 954 500.400024 456.000031
524 20170927.140957 1549 473.760010 426.240021
535 20170927.141009 1560 470.880005 421.920013
505 20170927.140935 1543 476.640015 439.200012
571 20170927.141051 1880 445.824036 407.808044
567 20170927.141046 1872 449.280029 409.536041
547 20170927.141023 1875 463.104034 418.176025
500 20170927.140929 1526 479.520020 437.760010
563 20170927.141041 1880 449.280029 409.536041
539 20170927.141014 1562 469.440033 421.920013
559 20170927.141037 1869 456.192047 409.536041
575 20170927.141055 2152 441.676849 410.572845
583 20170927.141105 2154 433.382446 404.352051
600 20170927.141124 2049 410.572845 393.984070
587 20170927.141109 2160 427.161652 402.278442
579 20170927.141060 2128 435.456055 406.425659
543 20170927.141018 1883 464.832031 419.904053
555 20170927.141032 1878 459.648041 411.264038
596 20170927.141119 2127 416.793671 398.131256
619 20170927.141146 2581 383.201324 390.666290
614 20170927.141140 2579 395.642944 393.154602
592 20170927.141115 1901 425.088043 402.624023
638 20170927.141208 2797 346.374207 382.206024
624 20170927.141152 2577 378.224701 390.666290
703 20170927.141323 2837 125.411354 358.318176
696 20170927.141315 2901 154.076813 351.151794
677 20170927.141253 2833 236.489990 358.318176
689 20170927.141307 2871 186.325439 347.568604
710 20170927.141331 2912 89.579544 354.734985
683 20170927.141260 2882 207.824539 351.151794
-0.038123 0.963330 8.865144 0 0 0 
Num of good obeservatiosn:32
514 20170927.140945 2346 485.222473 442.921021
524 20170927.140957 2354 487.710785 440.432709
505 20170927.140935 2562 487.710785 450.385986
571 20170927.141051 2630 465.813599 424.009796
567 20170927.141046 2632 465.813599 424.009796
547 20170927.141023 2409 480.245819 432.967743
500 20170927.140929 2194 493.516876 449.971252
489 20170927.140916 2197 497.664062 452.044861
483 20170927.140909 2185 499.737671 452.044861
563 20170927.141041 2612 471.785553 424.009796
551 20170927.141028 2624 480.743500 426.995789
575 20170927.141055 2404 462.827576 427.991089
583 20170927.141105 2379 455.362610 423.014465
604 20170927.141129 2675 432.967773 415.051849
600 20170927.141124 2637 435.953735 415.051849
579 20170927.141060 2609 456.855652 424.009796
543 20170927.141018 2360 482.734161 435.456055
555 20170927.141032 2653 474.771545 426.995789
596 20170927.141119 2613 441.925720 418.037842
614 20170927.141140 2665 421.023834 415.051849
609 20170927.141134 2856 426.398621 415.649078
638 20170927.141208 2980 379.817261 408.482697
633 20170927.141202 2798 391.163971 412.065857
643 20170927.141213 2979 369.067719 408.482697
665 20170927.141239 2989 308.153625 397.733154
671 20170927.141246 2984 286.654541 394.149963
648 20170927.141219 2829 358.318176 408.482697
653 20170927.141225 2352 345.876526 408.084534
659 20170927.141232 2988 326.069519 401.316345
677 20170927.141253 2987 268.738617 390.566803
689 20170927.141307 2991 218.574081 379.817261
683 20170927.141260 2803 241.864746 385.192017
0.452105 0.830063 9.189849 0 0 0 
Num of good obeservatiosn:41
524 20170927.140957 1872 699.840088 361.152039
535 20170927.141009 1939 706.752075 354.240021
571 20170927.141051 2342 719.124573 335.923248
567 20170927.141046 2340 719.124573 340.899902
563 20170927.141041 2109 717.465698 335.923248
551 20170927.141028 2090 715.392090 342.144043
530 20170927.141004 2202 702.950500 356.659241
510 20170927.140940 1592 691.200012 372.960022
539 20170927.141014 1942 708.480042 352.512024
559 20170927.141037 2103 717.465698 335.923248
519 20170927.140951 2181 696.729675 367.027252
575 20170927.141055 2079 721.612915 335.923248
583 20170927.141105 2053 723.686523 329.702454
587 20170927.141109 2090 723.686523 327.628845
579 20170927.141060 2064 721.612915 331.776062
543 20170927.141018 2214 709.171326 350.438446
555 20170927.141032 2380 716.636230 345.876526
596 20170927.141119 2075 725.760132 321.408051
619 20170927.141146 2789 731.566223 310.542389
614 20170927.141140 2573 731.566162 313.528351
592 20170927.141115 2074 725.760132 325.555237
638 20170927.141208 2788 731.566223 298.598450
624 20170927.141152 2572 731.566162 308.551727
643 20170927.141213 2968 730.969055 297.404083
665 20170927.141239 2787 716.636292 274.710571
671 20170927.141246 2965 709.469971 268.738617
653 20170927.141225 2971 723.802673 293.820892
659 20170927.141232 2786 719.622253 283.668549
731 20170927.141355 2828 637.806335 214.990891
738 20170927.141403 2990 623.473572 204.241348
746 20170927.141412 2830 601.974487 193.491806
703 20170927.141323 2975 677.221313 247.239532
696 20170927.141315 2971 684.387695 243.656357
677 20170927.141253 2971 705.886780 257.989075
689 20170927.141307 2857 691.554077 243.656357
776 20170927.141446 2990 515.978149 171.992722
717 20170927.141339 2980 655.722229 232.906799
710 20170927.141331 2794 665.874573 238.878769
754 20170927.141421 2988 580.475403 186.325439
683 20170927.141260 2789 695.734375 247.836716
762 20170927.141430 2834 562.559509 179.159088
0.435335 0.794834 8.930343 0 0 0 
Num of good obeservatiosn:32
547 20170927.141023 1012 723.600037 337.200012
551 20170927.141028 1016 726.000000 333.600006
539 20170927.141014 462 718.000000 343.000000
583 20170927.141105 994 735.600037 316.800018
604 20170927.141129 1344 743.040039 300.960022
587 20170927.141109 1002 735.600037 314.400024
555 20170927.141032 1011 727.200012 330.000000
596 20170927.141119 1002 739.200012 307.200012
614 20170927.141140 1403 747.360046 298.080017
592 20170927.141115 1489 738.720032 312.480011
638 20170927.141208 1663 755.136047 279.936035
633 20170927.141202 1474 754.560059 280.800018
643 20170927.141213 2312 754.790527 273.715240
665 20170927.141239 2573 744.007812 246.343719
671 20170927.141246 2316 742.348877 234.316833
648 20170927.141219 2316 752.716919 269.568024
653 20170927.141225 2313 750.643311 263.347229
659 20170927.141232 2788 746.496155 253.808685
731 20170927.141355 2381 681.799805 154.275864
738 20170927.141403 2967 670.054993 139.744080
746 20170927.141412 2793 650.944641 125.411354
703 20170927.141323 2400 714.147949 199.065628
696 20170927.141315 2573 721.612915 201.553955
677 20170927.141253 2572 736.542847 226.437149
689 20170927.141307 2315 727.833679 201.139221
776 20170927.141446 2813 570.323059 83.607567
717 20170927.141339 2793 698.720398 176.173096
710 20170927.141331 2787 707.678345 188.117035
754 20170927.141421 2990 627.056763 111.078629
683 20170927.141260 2788 728.580261 209.018921
762 20170927.141430 2991 609.140869 103.912270
819 20170927.141535 2365 388.177979 57.231369
0.450603 0.834151 9.184638 0 0 0 
Num of good obeservatiosn:48
514 20170927.140945 587 692.000000 367.000000
535 20170927.141009 991 706.800049 354.000000
571 20170927.141051 1506 720.000000 336.960022
567 20170927.141046 1456 718.560059 336.960022
547 20170927.141023 1007 714.000000 349.200012
563 20170927.141041 1480 718.560059 336.960022
551 20170927.141028 477 715.000000 346.000000
530 20170927.141004 989 704.400024 358.800018
539 20170927.141014 998 709.200012 354.000000
559 20170927.141037 1016 717.600037 339.600006
575 20170927.141055 1478 721.440002 336.960022
583 20170927.141105 1441 722.880005 331.200012
604 20170927.141129 1762 729.216064 323.136017
600 20170927.141124 1429 725.760010 319.680023
587 20170927.141109 1447 722.880005 329.760010
579 20170927.141060 1451 721.440002 334.080017
543 20170927.141018 1003 710.400024 352.800018
555 20170927.141032 1597 715.680054 341.279999
596 20170927.141119 1000 724.800049 324.000000
619 20170927.141146 1391 728.640015 315.360016
614 20170927.141140 1686 732.672058 321.408020
609 20170927.141134 1774 730.944092 323.136017
592 20170927.141115 1759 725.760071 328.320038
638 20170927.141208 2311 729.907288 302.745636
624 20170927.141152 2312 731.980896 317.260834
633 20170927.141202 2317 731.980896 306.892853
629 20170927.141157 1483 730.080017 311.040009
643 20170927.141213 2311 729.907288 300.672028
665 20170927.141239 2571 716.636230 283.668518
671 20170927.141246 2138 709.171326 271.641632
648 20170927.141219 2575 726.589539 298.598450
653 20170927.141225 2009 724.032043 295.488037
659 20170927.141232 2003 718.848083 286.848022
731 20170927.141355 2419 637.010010 218.972198
738 20170927.141403 2405 624.568420 206.530594
746 20170927.141412 2456 602.173523 196.577301
703 20170927.141323 2152 675.993713 250.905640
696 20170927.141315 2388 681.799805 248.832031
677 20170927.141253 2100 705.024109 263.347229
689 20170927.141307 2633 695.734375 250.822708
776 20170927.141446 2654 516.575317 173.187103
717 20170927.141339 2379 656.916565 233.902115
710 20170927.141331 2358 664.381531 241.367081
754 20170927.141421 2811 579.281006 188.117035
683 20170927.141260 1806 696.384094 252.288025
762 20170927.141430 2440 559.872070 184.135712
819 20170927.141535 2816 331.444275 167.215134
832 20170927.141549 2819 247.836716 164.229156
0.466784 0.883256 8.760187 0 0 0 
Num of good obeservatiosn:29
571 20170927.141051 1499 767.520020 381.600006
559 20170927.141037 1140 762.000000 380.400024
575 20170927.141055 1793 770.688049 381.888031
583 20170927.141105 1848 774.144043 378.432037
604 20170927.141129 1811 787.968079 368.064026
600 20170927.141124 2132 783.820923 367.027252
